date,game_result,game_time,champion,kills,deaths,assists,damage
Aug 5 2021 11:04 PM,Defeat,13m 56s,Jayce,1,7,13,"13,688"
Aug 3 2021 11:02 PM,Defeat,19m 1s,Kassadin,11,12,21,"26,923"
Aug 3 2021 10:37 PM,Defeat,21m 18s,Nunu & Willump,5,13,17,"14,363"
Aug 3 2021 10:12 PM,Defeat,19m 5s,Xerath,8,8,25,"33,598"
Aug 3 2021 9:50 PM,Defeat,17m 52s,Jayce,10,12,16,"27,134"
Aug 3 2021 9:28 PM,Victory,21m 13s,Ezreal,14,6,24,"47,570"
Aug 3 2021 9:04 PM,Defeat,21m 44s,Ezreal,15,9,10,"40,215"
Aug 3 2021 8:33 PM,Defeat,14m 49s,Xerath,8,5,11,"21,917"
Aug 2 2021 10:33 PM,Victory,16m 17s,Draven,14,7,24,"23,459"
Aug 2 2021 10:14 PM,Defeat,23m 36s,Varus,18,11,27,"63,028"
Aug 2 2021 9:46 PM,Victory,16m 28s,Nidalee,14,6,35,"37,803"
Aug 1 2021 11:05 PM,Victory,18m 43s,Aphelios,16,8,25,"59,042"
Aug 1 2021 10:43 PM,Defeat,17m 45s,Annie,3,7,14,"15,030"
Jul 31 2021 10:11 PM,Victory,18m 53s,Syndra,17,7,9,"30,079"
Jul 31 2021 9:48 PM,Victory,10m 1s,Nidalee,12,1,8,"15,137"
Jul 31 2021 9:31 PM,Victory,18m 10s,Twisted Fate,12,6,24,"36,563"
Jul 30 2021 11:26 PM,Victory,13m 2s,Vladimir,10,6,16,"17,299"
Jul 30 2021 9:34 PM,Victory,25m 17s,Tryndamere,13,16,13,"24,317"
Jul 30 2021 9:04 PM,Victory,14m 35s,Kindred,26,6,21,"47,077"
Jul 30 2021 8:47 PM,Defeat,18m 26s,Ekko,5,9,15,"18,231"
Jul 29 2021 11:22 PM,Victory,14m 41s,Twitch,12,7,14,"18,809"
Jul 29 2021 11:03 PM,Defeat,23m 45s,Nidalee,10,9,19,"30,727"
Jul 29 2021 10:36 PM,Victory,15m 56s,Twisted Fate,7,5,10,"22,942"
Jul 28 2021 9:47 PM,Defeat,18m 23s,Corki,8,14,9,"21,633"
Jul 28 2021 9:15 PM,Victory,19m 4s,Akali,6,9,18,"13,845"
Jul 28 2021 8:52 PM,Victory,21m 27s,Jhin,13,8,26,"40,338"
Jul 27 2021 10:06 PM,Defeat,22m 23s,Fiddlesticks,11,13,19,"32,536"
Jul 27 2021 9:40 PM,Victory,18m 22s,Jhin,11,7,12,"17,300"
Jul 27 2021 9:19 PM,Victory,12m 27s,Draven,8,6,24,"19,810"
Jul 26 2021 10:25 PM,Victory,15m 46s,Caitlyn,6,7,21,"15,078"
Jul 26 2021 10:05 PM,Victory,19m 41s,Rumble,12,10,25,"37,719"
Jul 26 2021 9:42 PM,Defeat,14m 38s,Draven,12,9,19,"19,877"
Jul 26 2021 9:24 PM,Victory,22m 33s,LeBlanc,25,10,17,"42,214"
Jul 26 2021 8:54 PM,Defeat,16m 3s,Senna,10,8,10,"18,024"
Jul 26 2021 8:34 PM,Defeat,18m 32s,Syndra,12,7,8,"27,778"
Jul 25 2021 10:18 PM,Victory,15m 24s,Kalista,9,7,19,"17,189"
Jul 25 2021 9:59 PM,Defeat,19m 31s,Cassiopeia,8,9,14,"21,722"
Jul 25 2021 9:37 PM,Victory,21m 21s,Leona,5,15,22,"10,687"
Jul 25 2021 9:11 PM,Defeat,16m 24s,Azir,2,7,5,"14,641"
Jul 25 2021 8:52 PM,Defeat,17m 27s,Senna,12,9,31,"31,801"
Jul 25 2021 8:25 PM,Defeat,28m 19s,LeBlanc,19,15,28,"55,986"
Jul 24 2021 11:25 PM,Defeat,24m 7s,LeBlanc,14,9,19,"41,261"
Jul 24 2021 10:56 PM,Victory,14m 6s,Caitlyn,12,4,29,"32,096"
Jul 24 2021 10:39 PM,Defeat,18m 20s,Caitlyn,11,9,16,"27,940"
Jul 24 2021 10:15 PM,Defeat,25m 59s,Twisted Fate,27,11,27,"81,244"
Jul 23 2021 11:48 PM,Defeat,28m 35s,LeBlanc,26,13,29,"64,012"
Jul 23 2021 11:16 PM,Defeat,17m 51s,Vayne,12,10,16,"30,465"
Jul 23 2021 10:55 PM,Defeat,21m 22s,Graves,7,10,24,"25,111"
Jul 22 2021 11:15 PM,Defeat,19m 2s,Sylas,7,13,18,"26,911"
Jul 22 2021 10:52 PM,Defeat,28m 8s,Shaco,7,19,23,"25,796"
Jul 22 2021 9:59 PM,Victory,26m 50s,Soraka,4,7,39,"11,742"
Jul 21 2021 10:46 PM,Victory,28m 17s,Sivir,11,10,29,"58,605"
Jul 21 2021 10:14 PM,Victory,19m 6s,Kalista,14,10,22,"23,519"
Jul 21 2021 9:48 PM,Defeat,21m 1s,Vayne,15,12,12,"31,830"
Jul 20 2021 10:37 PM,Defeat,16m 39s,Xayah,6,11,9,"18,479"
Jul 20 2021 10:15 PM,Defeat,19m 27s,Viktor,13,11,17,"32,593"
Jul 20 2021 9:51 PM,Defeat,17m 13s,Jinx,7,9,17,"31,241"
Jul 19 2021 9:52 PM,Defeat,19m 20s,Karma,5,9,29,"14,163"
Jul 19 2021 9:29 PM,Victory,11m 26s,Caitlyn,5,4,15,"14,767"
Jul 19 2021 9:14 PM,Victory,26m 51s,Zoe,15,12,12,"30,420"
Jul 18 2021 9:53 PM,Defeat,15m 54s,Nidalee,12,6,8,"20,453"
Jul 18 2021 9:34 PM,Victory,15m 48s,Jinx,9,4,21,"23,481"
Jul 17 2021 11:24 PM,Defeat,17m 13s,Tristana,9,11,11,"19,368"
Jul 17 2021 10:57 PM,Defeat,20m 39s,Ryze,5,10,15,"47,369"
Jul 16 2021 11:10 PM,Victory,23m 7s,Morgana,7,9,45,"30,135"
Jul 16 2021 10:43 PM,Defeat,22m 44s,Xerath,13,9,22,"45,771"
Jul 16 2021 10:15 PM,Defeat,15m 18s,Fizz,7,14,12,"17,398"
Jul 16 2021 9:56 PM,Victory,28m 57s,LeBlanc,27,14,35,"80,555"
Jul 16 2021 8:28 PM,Defeat,21m 15s,Azir,17,13,14,"35,578"
Jul 15 2021 11:14 PM,Victory,24m 17s,Kindred,19,11,24,"48,856"
Jul 15 2021 10:44 PM,Defeat,23m 59s,Tryndamere,20,14,21,"41,864"
Jul 15 2021 10:16 PM,Defeat,18m 51s,Twitch,21,8,13,"33,480"
Jul 15 2021 9:51 PM,Defeat,16m 39s,Graves,9,10,14,"22,419"
Jul 14 2021 10:57 PM,Victory,17m 40s,Azir,17,9,17,"31,102"
Jul 14 2021 9:47 PM,Defeat,18m 34s,Volibear,2,15,19,"15,668"
Jul 14 2021 9:23 PM,Victory,18m 45s,Rell,0,10,36,"11,637"
Jul 13 2021 10:55 PM,Victory,17m 56s,Shaco,16,6,19,"25,679"
Jul 13 2021 10:35 PM,Defeat,18m 0s,Kalista,5,9,13,"18,760"
Jul 11 2021 11:03 PM,Victory,19m 45s,Brand,9,7,29,"46,479"
Jul 11 2021 10:20 PM,Defeat,22m 16s,Twisted Fate,17,11,22,"44,729"
Jul 11 2021 9:27 PM,Defeat,17m 11s,Ornn,4,7,25,"13,178"
Jul 11 2021 9:07 PM,Victory,21m 41s,Kalista,15,9,29,"37,568"
Jul 11 2021 12:14 AM,Victory,22m 4s,Aphelios,16,10,19,"36,294"
Jul 10 2021 11:47 PM,Defeat,15m 10s,Trundle,5,7,12,"11,755"
Jul 10 2021 11:28 PM,Defeat,17m 23s,Blitzcrank,2,11,17,"6,965"
Jul 10 2021 11:03 PM,Defeat,17m 13s,Cassiopeia,3,12,15,"15,953"
Jul 10 2021 10:37 PM,Victory,13m 48s,Kog'Maw,4,6,22,"8,975"
Jul 10 2021 10:20 PM,Victory,14m 6s,Draven,15,6,13,"18,229"
Jul 10 2021 10:03 PM,Victory,16m 38s,Cassiopeia,5,6,15,"13,075"
Jul 10 2021 9:43 PM,Victory,20m 7s,Azir,13,9,17,"34,536"
Jul 10 2021 9:20 PM,Victory,17m 41s,Syndra,11,4,25,"31,455"
Jul 9 2021 10:13 PM,Victory,15m 10s,Lulu,4,7,24,"7,586"
Jul 9 2021 9:54 PM,Victory,15m 23s,Tristana,12,5,14,"25,060"
Jul 8 2021 10:17 PM,Defeat,24m 5s,Cassiopeia,15,12,21,"40,731"
Jul 8 2021 9:42 PM,Victory,14m 52s,Ezreal,11,5,12,"24,634"
Jul 8 2021 9:05 PM,Victory,17m 2s,Teemo,4,10,26,"20,468"
Jul 7 2021 11:08 PM,Defeat,33m 13s,Ezreal,21,11,24,"71,361"
Jul 7 2021 10:30 PM,Defeat,17m 58s,Pantheon,5,9,14,"15,892"
Jul 7 2021 10:08 PM,Defeat,15m 56s,Ashe,7,9,13,"17,276"
Jul 7 2021 9:49 PM,Defeat,14m 53s,Jinx,5,8,18,"20,089"
Jul 7 2021 9:29 PM,Victory,18m 22s,Lulu,7,8,32,"12,321"
Jul 7 2021 9:07 PM,Defeat,17m 19s,Corki,8,8,13,"18,824"
Jul 6 2021 11:51 PM,Victory,23m 5s,Fizz,17,12,16,"46,042"
Jul 6 2021 11:25 PM,Defeat,21m 16s,Renekton,4,12,14,"15,628"
Jul 6 2021 10:56 PM,Victory,18m 48s,Jinx,19,7,29,"68,485"
Jul 6 2021 10:34 PM,Victory,15m 28s,Azir,8,7,21,"22,232"
Jul 6 2021 10:14 PM,Victory,25m 2s,Kindred,23,7,22,"59,279"
Jul 6 2021 9:35 PM,Victory,16m 0s,Nidalee,7,7,21,"20,710"
Jul 4 2021 11:34 PM,Defeat,21m 0s,Azir,14,9,17,"51,980"
Jul 4 2021 10:33 PM,Defeat,21m 0s,Lucian,19,14,21,"29,953"
Jul 4 2021 3:34 PM,Victory,11m 26s,Fiddlesticks,8,4,21,"16,049"
Jul 4 2021 3:20 PM,Defeat,20m 45s,Kai'Sa,16,13,19,"31,984"
Jul 3 2021 11:18 PM,Defeat,22m 8s,Teemo,2,15,15,"26,924"
Jul 3 2021 10:51 PM,Victory,16m 2s,Corki,3,7,16,"11,080"
Jul 3 2021 10:32 PM,Defeat,12m 28s,Twitch,8,6,3,"15,724"
Jul 2 2021 11:38 PM,Victory,26m 19s,Lissandra,15,16,19,"40,441"
Jul 2 2021 11:08 PM,Defeat,25m 59s,Fiora,4,14,26,"24,860"
Jul 2 2021 10:39 PM,Defeat,20m 20s,Cassiopeia,10,10,23,"20,345"
Jul 2 2021 10:16 PM,Defeat,11m 23s,Aphelios,6,6,7,"14,355"
Jul 1 2021 11:38 PM,Defeat,19m 29s,Nocturne,2,12,14,"17,756"
Jul 1 2021 11:15 PM,Victory,13m 51s,Ezreal,6,4,18,"23,520"
Jul 1 2021 10:58 PM,Victory,15m 43s,Aphelios,17,5,16,"26,090"
Jul 1 2021 10:37 PM,Victory,14m 49s,Ashe,10,7,15,"19,005"
Jul 1 2021 10:20 PM,Defeat,20m 17s,LeBlanc,4,13,7,"16,741"
Jul 1 2021 9:57 PM,Defeat,18m 19s,Kalista,3,8,14,"14,549"
Jul 1 2021 9:36 PM,Victory,13m 35s,Pantheon,13,8,18,"19,273"
Jun 30 2021 11:43 PM,Defeat,20m 58s,Taliyah,9,12,20,"29,284"
Jun 30 2021 11:19 PM,Defeat,25m 20s,Talon,8,14,24,"33,940"
Jun 30 2021 10:49 PM,Victory,29m 14s,Lucian,16,12,27,"55,551"
Jun 30 2021 10:14 PM,Defeat,24m 42s,LeBlanc,22,12,19,"49,930"
Jun 30 2021 9:46 PM,Victory,18m 41s,Xerath,10,6,17,"32,885"
Jun 30 2021 8:46 PM,Defeat,13m 18s,Corki,11,10,9,"19,511"
Jun 29 2021 11:23 PM,Victory,26m 25s,Yorick,8,13,26,"37,061"
Jun 29 2021 10:53 PM,Victory,22m 49s,Twitch,14,11,26,"30,445"
Jun 29 2021 10:28 PM,Defeat,23m 58s,Fiddlesticks,7,13,14,"25,529"
Jun 28 2021 10:51 PM,Defeat,11m 49s,Lulu,5,7,9,"8,263"
Jun 28 2021 10:36 PM,Defeat,20m 4s,Cho'Gath,8,10,18,"16,544"
Jun 28 2021 10:13 PM,Victory,21m 47s,LeBlanc,13,8,18,"26,393"
Jun 28 2021 9:48 PM,Victory,12m 5s,Azir,10,4,20,"20,455"
Jun 28 2021 9:31 PM,Victory,18m 37s,Thresh,5,7,35,"10,637"
Jun 28 2021 9:10 PM,Defeat,18m 17s,Akali,8,11,10,"16,347"
Jun 28 2021 8:42 PM,Victory,23m 57s,Ezreal,22,7,10,"42,449"
Jun 27 2021 10:53 PM,Victory,12m 56s,Ashe,5,5,16,"13,040"
Jun 27 2021 10:35 PM,Defeat,14m 28s,Draven,5,10,12,"13,458"
Jun 27 2021 8:26 PM,Victory,22m 5s,Varus,10,8,22,"34,571"
Jun 26 2021 10:03 PM,Victory,14m 42s,Rumble,11,8,20,"24,699"
Jun 26 2021 9:46 PM,Defeat,13m 41s,Shaco,4,7,14,"16,967"
Jun 26 2021 9:30 PM,Victory,18m 9s,Lulu,7,7,35,"16,032"
Jun 25 2021 11:28 PM,Defeat,27m 40s,Nidalee,11,15,37,"47,787"
Jun 25 2021 10:57 PM,Victory,14m 13s,Twisted Fate,13,4,21,"19,883"
Jun 25 2021 10:40 PM,Victory,16m 54s,Xayah,8,4,29,"21,836"
Jun 24 2021 10:45 PM,Victory,18m 25s,Caitlyn,7,9,20,"20,875"
Jun 24 2021 10:23 PM,Defeat,16m 3s,Anivia,4,11,11,"14,590"
Jun 24 2021 10:01 PM,Victory,23m 4s,LeBlanc,19,9,16,"37,400"
Jun 24 2021 9:35 PM,Defeat,17m 15s,Lux,10,7,10,"15,865"
Jun 24 2021 9:12 PM,Defeat,13m 25s,Kai'Sa,1,9,14,"18,716"
Jun 24 2021 8:54 PM,Defeat,19m 27s,Lucian,9,12,11,"23,318"
Jun 23 2021 11:11 PM,Victory,22m 5s,Ashe,14,12,20,"31,557"
Jun 23 2021 10:46 PM,Defeat,27m 49s,Shaco,9,15,15,"23,828"
Jun 23 2021 10:14 PM,Victory,22m 40s,Braum,3,10,23,"10,050"
Jun 23 2021 9:46 PM,Defeat,15m 34s,Lee Sin,10,9,12,"15,381"
Jun 23 2021 9:25 PM,Victory,18m 28s,Ryze,6,7,18,"25,219"
Jun 22 2021 11:04 PM,Victory,19m 40s,Azir,4,8,18,"28,644"
Jun 22 2021 10:41 PM,Victory,23m 53s,Draven,14,14,16,"38,418"
Jun 22 2021 10:12 PM,Defeat,16m 17s,Lucian,16,11,13,"32,897"
Jun 22 2021 9:50 PM,Victory,17m 32s,Graves,7,8,15,"20,929"
Jun 22 2021 9:27 PM,Victory,13m 13s,Xayah,5,5,12,"8,679"
Jun 22 2021 9:08 PM,Victory,18m 46s,Xayah,7,6,16,"24,802"
Jun 22 2021 8:43 PM,Victory,8m 15s,Graves,7,1,6,"8,321"
Jun 21 2021 9:44 PM,Victory,26m 15s,Aphelios,15,14,28,"43,854"
Jun 21 2021 9:13 PM,Defeat,21m 27s,Fiddlesticks,20,8,28,"39,707"
Jun 21 2021 8:49 PM,Defeat,16m 52s,Shen,10,13,19,"18,535"
Jun 20 2021 10:57 PM,Victory,12m 33s,Twisted Fate,9,5,22,"24,168"
Jun 20 2021 10:42 PM,Defeat,19m 45s,Diana,6,15,27,"29,602"
Jun 20 2021 10:18 PM,Victory,13m 18s,Trundle,3,5,25,"11,513"
Jun 19 2021 11:41 PM,Victory,21m 38s,Jinx,11,11,30,"29,794"
Jun 19 2021 11:17 PM,Victory,15m 16s,Talon,7,9,24,"17,350"
Jun 19 2021 10:59 PM,Victory,12m 39s,Tristana,11,8,13,"15,939"
Jun 19 2021 10:39 PM,Defeat,19m 49s,Ezreal,15,11,16,"41,203"
Jun 19 2021 10:13 PM,Defeat,17m 29s,Shaco,9,11,12,"12,838"
Jun 19 2021 9:52 PM,Defeat,17m 23s,Senna,9,8,23,"20,757"
Jun 18 2021 10:27 PM,Defeat,29m 21s,Kha'Zix,11,19,27,"37,309"
Jun 18 2021 9:55 PM,Defeat,20m 38s,Azir,8,10,25,"36,988"
Jun 18 2021 9:24 PM,Victory,9m 6s,Jayce,6,5,27,"14,115"
Jun 18 2021 9:12 PM,Defeat,24m 26s,Kalista,17,14,20,"33,337"
Jun 17 2021 11:18 PM,Victory,19m 4s,Twisted Fate,8,10,20,"20,503"
Jun 17 2021 10:56 PM,Defeat,20m 16s,Draven,12,14,20,"36,979"
Jun 17 2021 10:26 PM,Defeat,13m 44s,Soraka,3,10,16,"6,414"
Jun 17 2021 10:10 PM,Victory,16m 1s,Jinx,11,7,18,"25,773"
Jun 17 2021 9:50 PM,Defeat,22m 42s,Caitlyn,19,10,28,"60,004"
Jun 17 2021 9:24 PM,Defeat,24m 40s,Syndra,21,9,21,"45,214"
Jun 16 2021 10:51 PM,Victory,17m 50s,Nocturne,10,9,21,"18,717"
Jun 16 2021 10:31 PM,Defeat,13m 46s,Vayne,12,9,12,"16,659"
Jun 16 2021 10:14 PM,Victory,16m 58s,Caitlyn,13,4,20,"27,722"
Jun 16 2021 9:54 PM,Victory,12m 6s,Gwen,7,5,15,"13,009"
Jun 16 2021 9:39 PM,Victory,16m 35s,Fiddlesticks,11,8,16,"16,918"
Jun 15 2021 11:13 PM,Victory,18m 55s,Jhin,14,10,29,"32,095"
Jun 15 2021 10:52 PM,Defeat,23m 28s,Ezreal,18,10,26,"44,291"
Jun 15 2021 10:25 PM,Defeat,16m 58s,Corki,4,7,16,"17,422"
Jun 14 2021 10:49 PM,Victory,13m 37s,Varus,9,5,16,"19,765"
Jun 14 2021 10:32 PM,Defeat,15m 20s,LeBlanc,8,11,13,"20,373"
Jun 14 2021 10:14 PM,Victory,9m 8s,Braum,5,5,22,"5,510"
Jun 14 2021 10:03 PM,Defeat,17m 40s,Sona,3,6,35,"8,928"
Jun 14 2021 9:39 PM,Victory,11m 38s,Aphelios,13,7,11,"18,530"
Jun 14 2021 9:25 PM,Victory,23m 25s,Draven,12,12,21,"33,704"
Jun 14 2021 8:56 PM,Defeat,26m 45s,Lee Sin,11,14,31,"37,979"
Jun 13 2021 10:39 PM,Victory,21m 4s,Lucian,17,11,19,"38,758"
Jun 13 2021 10:15 PM,Defeat,14m 14s,Yorick,6,9,9,"13,339"
Jun 13 2021 9:58 PM,Defeat,12m 27s,LeBlanc,4,9,13,"12,703"
Jun 12 2021 11:24 PM,Victory,23m 11s,Aurelion Sol,19,12,20,"34,085"
Jun 12 2021 10:58 PM,Victory,26m 22s,Cassiopeia,21,9,28,"54,660"
Jun 12 2021 10:28 PM,Victory,19m 15s,Orianna,4,7,24,"23,564"
Jun 12 2021 10:05 PM,Victory,13m 4s,Viktor,14,5,19,"23,699"
Jun 12 2021 9:48 PM,Defeat,22m 22s,Lucian,16,12,21,"38,916"
Jun 11 2021 11:55 PM,Defeat,31m 55s,Amumu,9,17,34,"46,056"
Jun 11 2021 11:20 PM,Defeat,19m 0s,Xin Zhao,13,12,21,"32,857"
Jun 11 2021 10:42 PM,Defeat,15m 28s,Lucian,14,10,10,"27,583"
Jun 11 2021 10:23 PM,Victory,12m 52s,Azir,3,3,22,"11,729"
Jun 11 2021 10:06 PM,Victory,16m 54s,Diana,10,6,16,"24,354"
Jun 11 2021 9:47 PM,Defeat,12m 52s,Zoe,3,7,8,"9,820"
Jun 10 2021 10:28 PM,Victory,22m 34s,Lee Sin,10,8,30,"34,540"
Jun 10 2021 10:03 PM,Defeat,15m 14s,Jayce,14,10,10,"25,629"
Jun 10 2021 9:45 PM,Defeat,22m 17s,Dr. Mundo,16,11,30,"45,749"
Jun 10 2021 9:19 PM,Victory,15m 45s,Ezreal,16,5,16,"29,077"
Jun 9 2021 11:01 PM,Victory,20m 6s,Draven,21,11,24,"45,547"
Jun 9 2021 10:38 PM,Defeat,22m 55s,Malphite,5,13,21,"18,424"
Jun 9 2021 10:04 PM,Victory,21m 4s,Kindred,13,8,15,"21,800"
Jun 9 2021 9:38 PM,Defeat,17m 23s,Ornn,3,10,30,"16,186"
Jun 9 2021 9:12 PM,Victory,20m 33s,Twisted Fate,9,10,20,"28,512"
Jun 8 2021 10:16 PM,Defeat,22m 10s,Xayah,9,11,9,"30,928"
Jun 8 2021 9:51 PM,Defeat,24m 6s,Seraphine,14,12,29,"50,163"
Jun 8 2021 9:21 PM,Victory,14m 22s,Trundle,4,4,20,"7,631"
Jun 7 2021 10:32 PM,Victory,18m 26s,Neeko,8,8,13,"27,280"
Jun 7 2021 10:11 PM,Defeat,23m 7s,LeBlanc,10,11,10,"21,027"
Jun 7 2021 9:44 PM,Defeat,17m 31s,Corki,21,9,26,"31,113"
Jun 6 2021 10:41 PM,Victory,22m 0s,Viktor,16,6,25,"51,615"
Jun 6 2021 10:16 PM,Defeat,14m 10s,Malzahar,5,6,5,"9,872"
